text,emotion
"['start', 'heat', 'home']","positivo"
"['brazil', 'vs', 'belgium', 'match', 'afford', 'take', 'day', 'neymar', 'roll', 'fake', 'injuri']","neutro"
"['insid', 'necessari', 'golden', 'boy', 'neymar']","neutro"
"['equip', 'terciu', 'mundista', 'latin', 'american', 'european', 'win', 'world', 'sinc', '1990', 'geo']","neutro"
"['hey', 'let', 'know', 'brussel', 'everyon', 'excit']","positivo"
"['hope', 'brazil', 'win']","positivo"
"['6', 'letter', 'fagner', '6', 'letter', 'tsilva', '6', 'letter', 'mirror', '6', 'letter', 'macelo', '6', 'letter', 'ferzin', '6', 'letter', 'paulin', '6', 'letter', 'neck']","neutro"
"['girl', 'kiss', 'interview', 'kkkkkkkkkkkk']","positivo"
"['lukaku', 'like', 'jesu']","neutro"
"['neymar', 'like', 'hazard']","neutro"
"['crowd', 'brazilian']","neutro"
"['think', 'penalti', 'huh']","positivo"
"['arriv', 'day', 'game', 'brazil']","positivo"
"['remov', 'espan', 'h', 'angri', 'sina', 'x', 'ico', 'lemanja', 'miss', 'b', 'elgica', 'f', 'r', 'even']","neutro"
"['predict']","neutro"
"['wait', 'anymor']","positivo"
"['come', 'suckl', 'vostro', 'ball']","positivo"
"['lukaku', 'like', 'jesu']","neutro"
"['spread', 'goal', 'mr', 'chinoi', 'god', 'brasi']","positivo"
['vs'],"neutro"
"['come', 'curitiba', 'catch', 'road', 'earli', 'morn', 'get', 'logo', 'end']","neutro"
"['prepar', 'see', 'remov']","positivo"
"['brazil', 'win', 'time', 'normal', 'psycholog', 'enough', 'endur', 'penalti', 'shootout']","positivo"
"['take', 'boy', 'street', 'street', 'boy', 'pitch']","positivo"
"['sorri', 'c', 'east']","neutro"
"['good', 'play', 'dd', 'deserv']","positivo"
"['matchday', 'biggest', 'game', 'gener', 'come', 'far', 'let', 'grab', 'chanc', 'h']","positivo"
"['neymar', 'like', 'hazard']","positivo"
"['retweet', 'brazil', 'like', 'belgium']","neutro"
"['two', 'power', 'hous', 'collid', 'tonight', 'got']","positivo"
"['accord', 'swiss', 'broadcast', 'rt', 'neymar', 'spent', '13', 'minut', '50', 'second', 'floor', 'far', 'ht']","negativo"
"['kkkkkkj', 'got', 'refer']","neutro"
"['also', 'answer', 'media', 'penalti', 'impos', 'show', 'fals', 'news']","negativo"
"['want', '100', 'euro', 'free', 'click', 'right', 'lose', 'win', 'women', '1']","neutro"
['next'],"neutro"
"['next', 'clash', 'favorit', 'come', 'top', 'see', 'bob', 'thing']","neutro"
"['wait', 'anymor']","positivo"
"['retweet', 'brazil', 'like', 'belgium']","neutro"
"['brazil', '2', 'vs', 'belgium', '1']","neutro"
"['predict']","neutro"
"['sir', 'leav', 'belgium', 'win', 'boy', 'amen', 'hexa', 'come']","positivo"
"['give', 'import', 'tip', 'sir']","negativo"
"['level', 'delicaci']","negativo"
['done'],"neutro"
"['call', 'act', 'cunt', 'kathleen']","negativo"
"['today', 'eve', 'actual', 'tierdoku', 'quot', 'swallow', 'russia', 'quot', 'plan', 'chang']","neutro"
"['peopl', 'swear', 'fall', 'scream']","neutro"
"['select', 'prometheu', 'hexa', 'huh', 'fuck', 'silli', 'today', 'cum']","negativo"
"['va', 'brazil']","positivo"
"['hello']","positivo"
